DISTRICT,District Code,Facility Code,Facility Name,ZONE,FACTYPE,MGA,FTYPE,LATITUDE,LONGITUDE,,
Nkhotakota,KK,1116,Malowa Health Centre,Central East,Health Centre,Government/public,Rural,-13.181600,34.251650,,
Nkhotakota,KK,1107,Mpamantha Health Centre,Central East,Health Centre,Government/public,Rural,-13.069260,34.252240,,
Nkhotakota,KK,1117,Msenjere Health Centre,Central East,Health Centre,Government/public,Rural,-12.732480,34.170620,,
Nkhotakota,KK,1108,Mtosa Health Centre,Central East,Health Centre,Government/public,Rural,-13.438760,34.273650,,
Nkhotakota,KK,1109,Mwansambo Health Centre,Central East,Health Centre,Government/public,Rural,-13.306980,34.118770,,
Nkhotakota,KK,1110,Ngala Health Centre,Central East,Health Centre,Government/public,Rural,-12.365290,34.065520,,
Nkhotakota,KK,1112,Nkhunga Health Centre,Central East,Health Centre,Government/public,Rural,-12.480230,34.108420,,
Nkhotakota,KK,1121,Kaongozi Dispensary,Central East,Dispensary,Government/public,Rural,-12.436650,34.049980,,
Nkhotakota,KK,1113,Alinafe Community Hospital,Central East,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,-13.387890,34.242920,,
Nkhotakota,KK,1115,St. Annes Hospital,Central East,Other Hospital,Christian Health Association of Malawi (CHAM),Urban,-12.927470,34.295540,,
Nkhotakota,KK,1103,Chididi Health Centre,Central East,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-13.085730,34.314740,,
Nkhotakota,KK,1105,Kapili Health Centre,Central East,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-13.216160,34.311360,,
Nkhotakota,KK,1122,Kasitu Health Centre,Central East,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-12.309380,34.034300,,
Nkhotakota,KK,1106,Liwaladzi Health Centre,Central East,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-12.620540,34.165380,,
Nkhotakota,KK,1123,"Kamanga, Lester P, Hossana Pri",Central East,Clinic,Private for profit,Urban,-12.928610,34.283050,,
Nkhotakota,KK,1124,"Mkoko, Arthur B, Chisomo Priva",Central East,Clinic,Private for profit,Rural,-12.505880,34.112340,,
Nkhotakota,KK,1125,Nyamvuu Clinic,Central East,Clinic,Company,Rural,-12.479120,34.136040,,
Nkhotakota,KK,1126,Ukasi Clinic,Central East,Clinic,Company,Rural,-12.529260,34.163370,,
Nkhotakota,KK,1127,Dwangwa BLM,Central East,Clinic,NGO,Urban,-12.509750,34.112100,,
Nkhotakota,KK,1128,NASO (Nkhotakota Aids Support,Central East,Clinic,NGO,Urban,-12.927390,34.284650,,
Nkhotakota,KK,1129,Nkhotakota BLM,Central East,Clinic,NGO,Urban,-12.924290,34.283460,,
Nkhotakota,KK,1122,World Medical Fund,Central East,Clinic,NGO,Urban,-12.915360,34.283380,,
Nkhotakota,KK,1118,Matiki Health Centre,Central East,Health Centre,Company,Urban,-12.498740,34.154640,,
Nkhotakota,KK,1120,Dwangwa Cane Grower Ltd Clinic,Central East,Clinic,Company,Rural,-12.521140,34.119100,,
Nkhotakota,KK,1130,Central 3 Clinic,Central East,Clinic,Company,Urban,-12.503300,34.130800,,
Nkhotakota,KK,1131,Kasasa Clinic,Central East,Clinic,Company,Urban,-12.537530,34.118180,,
,,,,,,,,,,,
Ntchisi,NS,1210,Ntchisi District Hospital,Central East,District Hospital,Government/public,Urban,-13.363450,33.910610,,
Ntchisi,NS,1201,Chinguluwe Health Centre,Central East,Health Centre,Government/public,Rural,-13.261660,33.868510,,
Ntchisi,NS,1203,Kamsonga Health Centre,Central East,Health Centre,Government/public,Rural,-13.274110,33.799490,,
Ntchisi,NS,1204,Kangolwa Health centre,Central East,Health Centre,Government/public,Rural,-13.370460,34.070480,,
Ntchisi,NS,1205,Khuwi Health Centre,Central East,Health Centre,Government/public,Rural,-13.431920,33.833670,,
Ntchisi,NS,1206,Malomo Health Centre,Central East,Health Centre,Government/public,Rural,-13.148610,33.839270,,
Ntchisi,NS,1207,Mkhuzi Health Centre,Central East,Health Centre,Government/public,Rural,-13.366460,33.776620,,
Ntchisi,NS,1213,Mndinda Health Centre,Central East,Health Centre,Government/public,Rural,-13.247400,34.056750,,
Ntchisi,NS,1209,Mzandu Health Centre,Central East,Health Centre,Government/public,Rural,-13.489160,34.027380,,
Ntchisi,NS,1211,Nthondo Health Centre,Central East,Health Centre,Government/public,Rural,-13.247230,34.006990,,
Ntchisi,NS,1202,Chinthembwe Health Centre,Central East,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-13.433260,33.975270,,
Ntchisi,NS,1214,Malambo Health Centre,Central East,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-13.213070,33.762440,,
Ntchisi,NS,1215,Asimec Clinic,Central East,Clinic,Private for profit,Urban,-13.358700,33.916190,,
Ntchisi,NS,1216,Fancy Private Clinic,Central East,Clinic,Private for profit,Rural,-13.353250,33.919100,,
,,,,,,,,,,,
Dowa,DA,1307,Dowa District Hospital,Central East,District Hospital,Government/public,Urban,-13.654320,33.936250,,
Dowa,DA,1313,Mponela Rural Hospital,Central East,Rural/Community Hospital,Government/public,Rural,-13.532640,33.737130,,
Dowa,DA,1301,Bowe Health Centre,Central East,Health Centre,Government/public,Rural,-13.278780,33.683920,,
Dowa,DA,1302,Chakhaza Health Centre,Central East,Health Centre,Government/public,Rural,-13.444210,33.646760,,
Dowa,DA,1303,Chankhungu Health Centre,Central East,Health Centre,Government/public,Rural,-13.764920,34.014710,,
Dowa,DA,1305,Chinkhwiri Health Centre,Central East,Health Centre,Government/public,Rural,-13.385570,33.721060,,
Dowa,DA,1306,Chisepo Health Centre,Central East,Health Centre,Government/public,Rural,-13.634920,33.470170,,
Dowa,DA,1321,Chizolowondo Health Centre,Central East,Health Centre,Government/public,Rural,-13.463360,33.513280,,
Dowa,DA,1308,Dzaleka Health Centre,Central East,Health Centre,Government/public,Rural,-13.661680,33.870420,,
Dowa,DA,1309,Dzoole Health Centre,Central East,Health Centre,Government/public,Rural,-13.585370,33.661560,,
Dowa,DA,1310,Kayembe Health Centre,Central East,Health Centre,Government/public,Rural,-13.642560,33.583010,,
Dowa,DA,1312,Mbingwa Health Centre,Central East,Health Centre,Government/public,Rural,-13.544250,33.514850,,
Dowa,DA,1314,Msakambewa Health Centre,Central East,Health Centre,Government/public,Rural,-13.552960,33.897190,,
Dowa,DA,1316,Mvera Army Health Centre,Central East,Health Centre,Government/public,Rural,-13.779630,34.139800,,
Dowa,DA,1318,Mwangala Health Centre,Central East,Health Centre,Government/public,Rural,-13.487440,33.923400,,
Dowa,DA,1319,Nalunga Health Centre,Central East,Health Centre,Government/public,Rural,-13.643780,34.056700,,
Dowa,DA,1320,Thonje Health Centre,Central East,Health Centre,Government/public,Rural,-13.726240,34.237250,,
Dowa,DA,1311,Madisi Mission Hospital,Central East,Other Hospital,Christian Health Association of Malawi (CHAM),Rural,-13.407120,33.608130,,
Dowa,DA,1315,Mthengathenga Hospital,Central East,Other Hospital,Christian Health Association of Malawi (CHAM),Rural,-13.671650,33.776230,,
Dowa,DA,1317,Mvera Mission Health Centre,Central East,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-13.736730,34.128760,,
Dowa,DA,1323,St. Mary's Rehabilitation Heal,Central East,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-13.725200,34.037070,,
Dowa,DA,1324,Kasese/Lifeline Malawi Health,Central East,Health Centre,Private for profit,Rural,-13.333380,33.576290,,
Dowa,DA,1325,Dalitso Private Clinic,Central East,Clinic,Private for profit,Urban,-13.422370,33.609320,,
Dowa,DA,1322,"Kanyika, Mwakalinga M. Alinafe",Central East,Clinic,Private for profit,Urban,-13.548490,33.742100,,
Dowa,DA,1326,Mamoyo Private Clinic,Central East,Clinic,Private for profit,Rural,-13.535320,33.739790,,
Dowa,DA,1327,Towoo's Private Clinic,Central East,Clinic,Private for profit,Rural,-13.705790,33.601860,,
Dowa,DA,1328,MBA-Esita Private Clinic,Central East,Clinic,Private for profit,Rural,-13.282820,33.689940,,
Dowa,DA,1329,BLM Mponela Clinic,Central East,Clinic,NGO,Urban,-13.531970,33.738020,,
Dowa,DA,1330,Family Planning Association of,Central East,Clinic,NGO,Urban,-13.658340,33.932890,,
,,,,,,,,,,,
Salima,SA,1415,Salima District Hospital,Central East,District Hospital,Government/public,Urban,-13.762140,34.421990,,
Salima,SA,1422,Chagunda Health Centre,Central East,Health Centre,Government/public,Rural,-13.880280,34.367210,,
Salima,SA,1401,Chinguluwe Health Centre,Central East,Health Centre,Government/public,Rural,-13.664540,34.385030,,
Salima,SA,1402,Chipoka Health Centre,Central East,Health Centre,Government/public,Rural,-13.989730,34.515450,,
Salima,SA,1406,Khombedza Health Centre,Central East,Health Centre,Government/public,Rural,-13.596950,34.311110,,
Salima,SA,1407,Lifuwu Health Centre,Central East,Health Centre,Government/public,Rural,-13.679150,34.588780,,
Salima,SA,1420,MAFCO,Central East,Health Centre,Government/public,Rural,-13.784190,34.603380,,
Salima,SA,1408,Maganga Health Centre,Central East,Health Centre,Government/public,Rural,-13.846810,34.559100,,
Salima,SA,1409,Makioni Health Centre,Central East,Health Centre,Government/public,Rural,-13.585990,34.197000,,
Salima,SA,1410,Mchoka Health Centre,Central East,Health Centre,Government/public,Rural,-13.925930,34.489840,,
Salima,SA,1425,Parachute Battalion,Central East,Health Centre,Government/public,Rural,-13.743140,34.588260,,
Salima,SA,1421,Admarc,Central East,Clinic,Government/public,Urban,-13.787000,34.462350,,
Salima,SA,1426,Baptist Medical Clinic,Central East,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-13.738870,34.597490,,
Salima,SA,1403,Chitala Health Centre,Central East,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-13.671610,34.271740,,
Salima,SA,1418,Kaphatenga Health Centre,Central East,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-13.762220,34.384180,,
Salima,SA,1414,Ngodzi Health Centre,Central East,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-14.089260,34.508960,,
Salima,SA,1417,Thavite Health Centre,Central East,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-13.498000,34.261220,,
Salima,SA,1427,Asante Private Clinic,Central East,Clinic,Private for profit,Urban,-13.770650,34.441740,,
Salima,SA,1428,Bliss Private Clinic,Central East,Clinic,Private for profit,Urban,-13.789290,34.462060,,
Salima,SA,1429,Katemela Clinic,Central East,Clinic,Private for profit,Rural,-13.784930,34.458880,,
Salima,SA,1430,Madalitso Private Clinic,Central East,Clinic,Private for profit,Urban,-13.784140,34.454090,,
Salima,SA,1431,"Matabwa, Tengani L. Tadfa Priv",Central East,Clinic,Private for profit,Rural,-13.728620,34.615360,,
Salima,SA,1432,M & M Medical and Dental Clini,Central East,Clinic,Private for profit,Urban,-13.770240,34.437950,,
Salima,SA,1433,Muchila Private Clinic,Central East,Clinic,Private for profit,Urban,-13.777740,34.438030,,
Salima,SA,1424,Lifeline Health Centre,Central East,Health Centre,NGO,Rural,-14.092190,34.544370,,
Salima,SA,1423,Katawa Clinic,Central East,Clinic,NGO,Rural,-13.713140,34.318010,,
Salima,SA,1434,Ndimoyo Palliative Trust Clini,Central East,Clinic,NGO,Urban,-13.782740,34.458880,,
Salima,SA,1435,Salima AIDS Support Organisati,Central East,Clinic,NGO,Rural,-13.771650,34.440550,,
Salima,SA,1436,Salima BLM,Central East,Clinic,NGO,Urban,-13.770420,34.437920,,
Salima,SA,1421,Salima Admarc Dispensary,Central East,Dispensary,Company,Urban,-13.786230,34.462430,,
,,,,,,,,,,,
Lilongwe,LL,1519,Kamuzu Central Hospital,Central West,Central Hospital,Government/public,Urban,-13.976390,33.785120,,
Lilongwe,LL,1514,Kabudula Rural Hospital,Central West,Rural/Community Hospital,Government/public,Rural,-13.819720,33.448380,,
Lilongwe,LL,1530,Mitundu Community Hospital,Central West,Rural/Community Hospital,Government/public,Rural,-14.247760,33.774650,,
Lilongwe,LL,1545,Kamuzu Barracks Hospital,Central West,Other Hospital,Government/public,Urban,-13.981310,33.821050,,
Lilongwe,LL,1501,Area 18 Health Centre,Central West,Health Centre,Government/public,Urban,-13.941310,33.780510,,
Lilongwe,LL,1502,Area 25 Health centre,Central West,Health Centre,Government/public,Urban,-13.892720,33.774650,,
Lilongwe,LL,1563,Chadza Health Centre,Central West,Health Centre,Government/public,Rural,-14.147150,33.841670,,
Lilongwe,LL,1504,Chikowa Health Centre,Central West,Health Centre,Government/public,Rural,-13.729290,33.458210,,
Lilongwe,LL,1505,Chileka Health Centre,Central West,Health Centre,Government/public,Rural,-14.021020,33.385440,,
Lilongwe,LL,1564,Chilobwe/Majiga Health Centre,Central West,Health Centre,Government/public,Rural,-13.854670,33.374390,,
Lilongwe,LL,1506,Chimbalanga Health Centre,Central West,Health Centre,Government/public,Rural,-13.935800,34.125670,,
Lilongwe,LL,1507,Chitedze Health Centre,Central West,Health Centre,Government/public,Rural,-13.976840,33.645290,,
Lilongwe,LL,1508,Chiunjiza Health Centre,Central West,Health Centre,Government/public,Rural,-14.243220,33.401300,,
Lilongwe,LL,1509,Chiwamba Health Centre,Central West,Health Centre,Government/public,Rural,-13.857100,33.929260,,
Lilongwe,LL,1511,Diamphwe Health Centre,Central West,Health Centre,Government/public,Rural,-14.132320,34.081240,,
Lilongwe,LL,1512,Dickson Health Centre,Central West,Health Centre,Government/public,Rural,-14.266260,33.658850,,
Lilongwe,LL,1515,Kang'oma Health Centre,Central West,Health Centre,Government/public,Rural,-13.978170,33.882190,,
Lilongwe,LL,1516,Katchale Health Centre,Central West,Health Centre,Government/public,Rural,-14.283600,33.907820,,
Lilongwe,LL,1517,Kawale Health Centre,Central West,Health Centre,Government/public,Urban,-13.991750,33.797570,,
Lilongwe,LL,1518,Khongoni Health Centre,Central West,Health Centre,Government/public,Rural,-13.774510,33.367610,,
Lilongwe,LL,1521,Lumbadzi Health Centre,Central West,Health Centre,Government/public,Rural,-13.770740,33.804770,,
Lilongwe,LL,1523,Maluwa Health Centre,Central West,Health Centre,Government/public,Rural,-14.262870,33.873640,,
Lilongwe,LL,1524,Matapila Health Centre,Central West,Health Centre,Government/public,Rural,-14.011080,33.975090,,
Lilongwe,LL,1525,Mbabvi Health Centre,Central West,Health Centre,Government/public,Rural,-13.928080,33.670870,,
Lilongwe,LL,1527,Mbang'ombe 2 Health Centre,Central West,Health Centre,Government/public,Rural,-14.169450,33.379420,,
Lilongwe,LL,1526,Mbangombe Health Centre 1,Central West,Health Centre,Government/public,Rural,-13.736730,33.713820,,
Lilongwe,LL,1529,Ming'ong'o Health Centre,Central West,Health Centre,Government/public,Rural,-14.074790,33.448380,,
Lilongwe,LL,1532,Mtenthela Health Centre,Central West,Health Centre,Government/public,Rural,-14.108840,34.005670,,
Lilongwe,LL,1534,Nathenje Health Centre,Central West,Health Centre,Government/public,Rural,-14.085040,33.908230,,
Lilongwe,LL,1535,Ndaula Health Centre,Central West,Health Centre,Government/public,Rural,-14.138500,33.507570,,
Lilongwe,LL,1537,Ngoni Health Centre,Central West,Health Centre,Government/public,Rural,-13.775090,33.640180,,
Lilongwe,LL,1539,Nsalu Health centre,Central West,Health Centre,Government/public,Rural,-13.885500,33.504300,,
Lilongwe,LL,1540,Nthondo Health centre,Central West,Health Centre,Government/public,Rural,-14.031530,33.448490,,
Lilongwe,LL,1542,Ukwe Health Centre,Central West,Health Centre,Government/public,Rural,-13.825860,33.601290,,
Lilongwe,LL,1503,Bwaila Hospital,Central West,District Hospital,Government/public,Urban,-13.991640,33.775610,,
Lilongwe,LL,1566,City Assembly Health,Central West,Clinic,Government/public,Urban,-13.989310,33.770820,,
Lilongwe,LL,1570,David Livingstone Memorial Cli,Central West,Clinic,Private for profit,Urban,-13.981730,33.788130,,
Lilongwe,LL,1581,Lilongwe City Assembly Chinsap,Central West,Clinic,Government/public,Urban,-14.013310,33.731710,,
Lilongwe,LL,1582,Lilongwe City Assembly Staff C,Central West,Clinic,Government/public,Urban,-13.989720,33.770490,,
Lilongwe,LL,1543,Dzalanyama/Kapombeza,Central West,Health Centre,Government/public,Rural,-14.249360,33.444690,,
Lilongwe,LL,1538,Nkhoma Mission Hospital,Central West,Other Hospital,Christian Health Association of Malawi (CHAM),Rural,-14.043890,34.103600,,
Lilongwe,LL,1510,Chiwe Health Centre,Central West,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-13.907380,33.398620,,
Lilongwe,LL,1533,Nambuma Health Centre,Central West,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,-13.724090,33.557890,,
Lilongwe,LL,1568,Daeyang Luke Hospital,Central West,Other Hospital,Christian Health Association of Malawi (CHAM),Urban,-13.876840,33.808670,,
Lilongwe,LL,1519,Likuni Mission Hospital,Central West,Other Hospital,Christian Health Association of Malawi (CHAM),Urban,-14.026830,33.708860,,
Lilongwe,LL,1531,Mlale Mission Hospital,Central West,Other Hospital,Christian Health Association of Malawi (CHAM),Rural,-14.230110,33.756580,,
Lilongwe,LL,1541,St. Gabriel Mission Hospital,Central West,Other Hospital,Christian Health Association of Malawi (CHAM),Rural,-13.984180,33.351280,,
Lilongwe,LL,1513,Dzenza Health Centre,Central West,Health Centre,Christian Health Association of Malawi (CHAM),Urban,-13.875980,33.746890,,
Lilongwe,LL,1583,Malembo Health Centre,Central West,Health Centre,Government/public,Rural,-13.620060,33.415070,,
Lilongwe,LL,1522,Malingunde Health Centre,Central West,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-14.168870,33.639700,,
Lilongwe,LL,1528,Mbwatalika Health Centre,Central West,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-14.003870,33.550700,,
Lilongwe,LL,1584,Area 24 Private Clinic,Central West,Clinic,Private for profit,Urban,-14.020500,33.799670,,
Lilongwe,LL,1585,"Banda, Boniface An. N., Maziko",Central West,Clinic,Private for profit,Urban,-14.005070,33.816290,,
Lilongwe,LL,1586,"Boulos, Maher Eskander. Amoun",Central West,Clinic,Private for profit,Urban,-13.988210,33.769290,,
Lilongwe,LL,1587,CCK Health Clinic,Central West,Clinic,Private for profit,Urban,-13.983020,33.752330,,
Lilongwe,LL,1588,"Chete, Tenace D B. Chagogo Pri",Central West,Clinic,Private for profit,Rural,-14.072770,33.831950,,
Lilongwe,LL,1589,"Chilewani, Billy B. K. Gift of",Central West,Clinic,Private for profit,Urban,-13.907290,33.750610,,
Lilongwe,LL,1590,Chigomezgo Private Clinic,Central West,Clinic,Private for profit,Urban,-13.880300,33.760180,,
Lilongwe,LL,1591,Chilinde Health Services,Central West,Clinic,Private for profit,Urban,-13.995870,33.810260,,
Lilongwe,LL,1592,"Chimango, Amon B. Ali Private",Central West,Clinic,Private for profit,Urban,-13.783260,33.815860,,
Lilongwe,LL,1593,Chimwala Clinic,Central West,Clinic,Private for profit,Urban,-14.051210,33.794190,,
Lilongwe,LL,1594,"Chirwa, Patrick W. Lilongwe  P",Central West,Clinic,Private for profit,Urban,-13.938770,33.792100,,
Lilongwe,LL,1595,"Chonde, Numeri G. Malakia Priv",Central West,Clinic,Private for profit,Urban,-13.994550,33.809080,,
Lilongwe,LL,1596,City Centre Clinic,Central West,Clinic,Private for profit,Urban,-13.956660,33.783900,,
Lilongwe,LL,1597,Discovery Medi Clinic,Central West,Clinic,Private for profit,Urban,-13.958180,33.791590,,
Lilongwe,LL,1598,Dopa Private Clinic,Central West,Clinic,Private for profit,Urban,-13.886470,33.757120,,
Lilongwe,LL,1599,Dr AQA Ghumra,Central West,Clinic,Private for profit,Urban,-13.989070,33.774120,,
Lilongwe,LL,4001,Dr G M Lorgat,Central West,Clinic,Private for profit,Urban,-13.990490,33.776380,,
Lilongwe,LL,4002,Family Health Private Clinic,Central West,Clinic,Private for profit,Urban,-13.986520,33.798070,,
Lilongwe,LL,4003,"Gama, Samuel, Kachi Private Cl",Central West,Clinic,Private for profit,Urban,-13.942670,33.778070,,
Lilongwe,LL,4004,Gika Private Clinic,Central West,Clinic,Private for profit,Urban,-13.896500,33.764350,,
Lilongwe,LL,4005,"Gobede, Kalimanjira J. Chizika",Central West,Clinic,Private for profit,Rural,-14.135880,33.945540,,
Lilongwe,LL,4006,"Gwaza, George R. Good Hope pri",Central West,Clinic,Private for profit,Urban,-14.006560,33.764530,,
Lilongwe,LL,4007,"Hiwa, Snowden S. S S H Clinic",Central West,Clinic,Private for profit,Urban,-13.973450,33.773280,,
Lilongwe,LL,4008,"Howa, David A C. Area 36 Priva",Central West,Clinic,Private for profit,Urban,-14.018250,33.779060,,
Lilongwe,LL,4009,"Kabota, Nathaniel S. Mt. Nkhom",Central West,Clinic,Private for profit,Urban,-13.875670,33.754770,,
Lilongwe,LL,4010,"Kachepa, Stephen J. Kama Priva",Central West,Clinic,Private for profit,Urban,-14.009130,33.816870,,
Lilongwe,LL,4011,Kachere Clinic,Central West,Clinic,Private for profit,Urban,-14.005110,33.817340,,
Lilongwe,LL,4012,"Kafodya, Charles M. Mpumulo Pr",Central West,Clinic,Private for profit,Urban,-14.015400,33.783890,,
Lilongwe,LL,4013,"Kamalizeni, Joe N. Tachira Pri",Central West,Clinic,Private for profit,Urban,-14.019160,33.728490,,
Lilongwe,LL,4014,Kamatenda Private Clinic,Central West,Clinic,Private for profit,Urban,-14.007520,33.822030,,
Lilongwe,LL,4015,"Kambiya, Paulino A M. Demera P",Central West,Clinic,Private for profit,Rural,-13.824330,33.446620,,
Lilongwe,LL,4016,"Kamiza, Mary Z. Kim's Medical",Central West,Clinic,Private for profit,Urban,-13.990030,33.773820,,
Lilongwe,LL,4017,"Kasmani, Mohamed I M. Hasani M",Central West,Clinic,Private for profit,Urban,-13.976680,33.751300,,
Lilongwe,LL,4018,Kawale Medical Services,Central West,Clinic,Private for profit,Urban,-13.990340,33.797170,,
Lilongwe,LL,4019,"Lingadzi Private Clinic, Kayam",Central West,Clinic,Private for profit,Urban,-13.973840,33.760030,,
Lilongwe,LL,4020,Khama Private Clinic,Central West,Clinic,Private for profit,Urban,-14.009160,33.816860,,
Lilongwe,LL,4021,"Kharodia, Ahmed I.",Central West,Clinic,Private for profit,Urban,-13.989240,33.777410,,
Lilongwe,LL,4022,"Malola, Lemson F. Umoyo Privat",Central West,Clinic,Private for profit,Urban,-14.000770,33.783370,,
Lilongwe,LL,4023,"Manjolo, Khamalake F, Feroz Me",Central West,Clinic,Private for profit,Urban,-13.992520,33.772000,,
Lilongwe,LL,4024,Masida Private,Central West,Clinic,Private for profit,Urban,-13.994770,33.810850,,
Lilongwe,LL,4025,Masm Medi Clinic Lilongwe (Are,Central West,Clinic,Private for profit,Urban,-13.931900,33.810070,,
Lilongwe,LL,4026,Medical Aid Society of Malawi,Central West,Clinic,Private for profit,Urban,-13.964710,33.777710,,
Lilongwe,LL,4027,"Mkhaya, Anakalet A. Mphatso Pr",Central West,Clinic,Private for profit,Urban,-14.038770,33.710630,,
Lilongwe,LL,4028,Mlolera Womens Clinic,Central West,Clinic,Private for profit,Urban,-13.951020,33.767030,,
Lilongwe,LL,4029,"Muriya, Nemezio. Chifundo Priv",Central West,Clinic,Private for profit,Urban,-13.981050,33.802230,,
Lilongwe,LL,4030,"Mwale, Charles M C. Yankho Pri",Central West,Clinic,Private for profit,Rural,-14.250070,33.776700,,
Lilongwe,LL,4031,"Mwenyekonde, Elled. Seventh Ce",Central West,Clinic,Private for profit,Urban,-14.007750,33.817260,,
Lilongwe,LL,4032,Nkhalango Clinic,Central West,Clinic,Private for profit,Rural,-14.012910,33.704830,,
Lilongwe,LL,4033,"Nyangulu, Daniel S.",Central West,Clinic,Private for profit,Urban,-14.007170,33.784190,,
Lilongwe,LL,4034,"Sendezera, Michael J. Tendai P",Central West,Clinic,Private for profit,Urban,-13.772510,33.813450,,
Lilongwe,LL,4035,SOS Medical Centre,Central West,Clinic,Mission/ Faith-based (other than CHAM),Urban,-14.019760,33.792750,,
Lilongwe,LL,4036,The Clinic,Central West,Clinic,Private for profit,Urban,-13.984950,33.764150,,
Lilongwe,LL,4037,Westcliff Clinic,Central West,Clinic,Private for profit,Urban,-14.007680,33.810130,,
Lilongwe,LL,4038,Blessings Hospital,Central West,Other Hospital,Mission/ Faith-based (other than CHAM),Urban,-13.790990,33.817070,,
Lilongwe,LL,4039,Mlodza/Seventh Day,Central West,Clinic,Mission/ Faith-based (other than CHAM),Urban,-14.007222,33.817500,,
Lilongwe,LL,4040,ABC Comm. Hospital,Central West,Other Hospital,Mission/ Faith-based (other than CHAM),Urban,-13.968160,33.741290,,
Lilongwe,LL,4041,Adventist Health Centre Area 1,Central West,Health Centre,NGO,Urban,-13.954730,33.779300,,
Lilongwe,LL,4042,Area 25 BLM,Central West,Clinic,NGO,Urban,-13.894880,33.762060,,
Lilongwe,LL,1580,BLM Kawale 1 Clinic,Central West,Clinic,NGO,Urban,-13.991500,33.795140,,
Lilongwe,LL,1573,BLM Falls Estate Clinic,Central West,Clinic,NGO,Urban,-13.996460,33.778970,,
Lilongwe,LL,4043,FPAM Clinic,Central West,Clinic,NGO,Urban,-13.990760,33.799490,,
Lilongwe,LL,4044,Partners In Hope Clinic Moyo C,Central West,Clinic,NGO,Urban,-14.023410,33.787830,,
Lilongwe,LL,4045,Africa Leaf Clinic Kanengo,Central West,Clinic,Company,Urban,-13.889800,33.804870,,
Lilongwe,LL,4046,Airwing Health Post,Central West,Dispensary,Government/public,Rural,-13.961620,33.696790,,
Lilongwe,LL,4047,Alliance One Clinic,Central West,Clinic,Company,Urban,-13.895710,33.801080,,
Lilongwe,LL,4048,Area 30 Police Clinic,Central West,Clinic,Government/public,Urban,-13.927900,33.784190,,
Lilongwe,LL,4049,Auction Holdings Clinic,Central West,Clinic,Company,Urban,-13.890890,33.799520,,
Lilongwe,LL,4050,Bunda College Clinic,Central West,Clinic,Private for profit,Rural,-14.180380,33.775540,,
Lilongwe,LL,4051,Carlsberg / Sobo Clinic Lilong,Central West,Clinic,Company,Urban,-13.901070,33.796970,,
Lilongwe,LL,4052,Escom Clinic Lilongwe,Central West,Clinic,Company,Urban,-13.991950,33.771920,,
Lilongwe,LL,4053,Kanengo Tobacco Processors Cli,Central West,Clinic,Company,Urban,-13.902000,33.806390,,
Lilongwe,LL,4054,Limbe Leaf Tobacco Co. Ltd. Cl,Central West,Clinic,Company,Urban,-13.893190,33.802630,,
Lilongwe,LL,4055,MoH Hq,Central West,Clinic,Government/public,Urban,-13.946280,33.788590,,
Lilongwe,LL,4056,Macro Lilongwe,Central West,Clinic,NGO,Urban,-13.998190,33.776000,,
Lilongwe,LL,4057,Natural Resources College Clin,Central West,Clinic,Private for profit,Urban,-14.022470,33.674220,,
Lilongwe,LL,4058,New state house Clinic,Central West,Clinic,Government/public,Urban,-13.960510,33.850890,,
Lilongwe,LL,4059,Reserve Bank of Malawi Clinic,Central West,Clinic,Company,Urban,-13.963350,33.789260,,
Lilongwe,LL,4060,Bethsaida Hospital,Central West,Other Hospital,Private for profit,Urban,-13.933870,33.792020,,
Lilongwe,LL,4061,Lumbadzi Masm Clinic,Central West,Clinic,Private for profit,Urban,-13.758180,33.811830,,
Lilongwe,LL,4062,Good Health Private Clinic,Central West,Clinic,Private for profit,Urban,-13.943320,33.820000,,
Lilongwe,LL,4063,St. Louis Private Clinic,Central West,Clinic,Private for profit,Urban,-13.931570,33.769950,,
,,,,,,,,,,,
Mchinji,MC,1609,Mchinji District Hospital,Central West,District Hospital,Government/public,Urban,-13.802730,32.887160,,
Mchinji,MC,1607,Kochilira Rural Hospital,Central West,Rural/Community Hospital,Government/public,Rural,-13.782390,33.043850,,
Mchinji,MC,1601,Chiosya Health Centre,Central West,Health Centre,Government/public,Rural,-13.795860,33.175340,,
Mchinji,MC,1602,Chipumi Health Centre,Central West,Health Centre,Government/public,Rural,-13.625190,33.081510,,
